id_caso,fuente,recomendacion,accion,plazo,justificacion
1,EH1,"Recuperar cliente, facturación importante que puede crecer con incremento del portafolio.",Visita regular + alianza estratégica,1 mes,"Cliente con potencial de crecimiento, facturación importante."
2,EH1,"Entender por qué no compra, hacer acercamiento al cliente.","Retomar comunicaciones, entender qué pasa con el cliente.",1 mes,"El cliente no es muy relevante en facturación; si se puede retomar es importante, caso contrario no ofrecer mayores esfuerzos de tiempo y margen."
3,EH1,"Recuperar cliente, facturación relevante, posibilidad de crecimiento en facturación y portafolio.",Visita regular + alianza estratégica,1 mes,"Cliente con potencial de crecimiento, facturación importante."
4,EH1,"Recuperar cliente, facturación relevante, posibilidad de crecimiento en facturación y portafolio.",Visita regular + alianza estratégica,1 mes,"Cliente con potencial de crecimiento, facturación relevante."
5,EH1,"No realizar mayores esfuerzos, entender por qué ha dejado de comprar.",Retomar comunicación.,1 mes,Cliente sin mucho potencial y compras pequeñas que agotan recursos.
6,EH1,Ofrecer los nuevos productos como enganche y recuperar el cliente.,Retomar comunicación con productos nuevos del portafolio y promociones vigentes. No sobredimensionar esfuerzos.,2 semanas,"Cliente que suma a la facturación y exposición del portafolio en el mercado, facturación baja."
7,EH1,"Recuperar cliente, facturación promedio, posibilidad de crecimiento en facturación y portafolio de marcas foco.",Visita regular + alianza estratégica,2 semanas,"Cliente con potencial de crecimiento, facturación promedio."
8,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
9,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
10,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
11,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
12,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
13,EH1,Ofrecer los nuevos productos como enganche y recuperar el cliente.,Retomar comunicación con productos nuevos del portafolio y promociones vigentes. No sobredimensionar esfuerzos.,2 semanas,"Cliente que suma a la facturación y exposición del portafolio en el mercado, facturación baja."
14,EH1,Ofrecer los nuevos productos como enganche y recuperar el cliente siempre que no consuma recursos innecesarios.,Retomar comunicación con productos nuevos del portafolio y promociones vigentes. No sobredimensionar esfuerzos.,1 mes,"Cliente que suma a la facturación y exposición del portafolio en el mercado, facturación baja."
15,EH1,"Retomar comunicación, entender por qué no compra. Cuidar el no desperdiciar recursos: tiempo y margen.","Llamada, mensaje, visita 1.",2 semanas,"Cliente no relevante, no llega a mínimos de compra para entregas con el camión, operativamente costoso."
